State,Total_Suicides,Population,Suicide_Rate_Per_Lakh
Andaman and Nicobar Islands,136,380581.0,35.73483699921961
Andhra Pradesh,15077,84580777.0,17.825563366484563
Arunachal Pradesh,134,1383727.0,9.683991134089311
Assam,2726,31205576.0,8.735618275400524
Bihar,795,104099452.0,0.7636927810148318
Chandigarh,105,,
Chhattisgarh,6756,25545198.0,26.44724069079441
D & N Haveli,63,,
Dadra and Nagar Haveli and Daman and Diu,33,586956.0,5.622227219757529
Delhi (Ut),1716,,
Goa,293,1458545.0,20.088512867275263
Gujarat,6382,60439692.0,10.559286106223043
Haryana,3245,25351462.0,12.80005074263567
Himachal Pradesh,443,6864602.0,6.453396715497854
Jammu and Kashmir,287,12541302.0,2.2884386326076833
Jharkhand,1212,32988134.0,3.674048371453808
Karnataka,12622,61095297.0,20.65952801571617
Kerala,8431,33406061.0,25.2379351160258
Lakshadweep,0,64473.0,0.0
Madhya Pradesh,9259,72626809.0,12.748735800852822
Maharashtra,15947,112374333.0,14.190962984403209
Manipur,33,2855794.0,1.155545533046151
Meghalaya,153,2966889.0,5.156916891734069
Mizoram,90,1097206.0,8.202652920235579
Nagaland,33,1978502.0,1.667928564135897
Odisha,5241,41974218.0,12.486236193846423
Puducherry,557,1247953.0,44.63309115006735
Punjab,966,27743338.0,3.481916992108159
Rajasthan,4348,68548437.0,6.342960088207408
Sikkim,184,610577.0,30.13542927427663
Tamil Nadu,15963,72147030.0,22.125650910370116
Total (All India),135585,,
Total (States),132975,,
Total (Uts),2610,,
Tripura,703,3673917.0,19.13489063579825
Uttar Pradesh,4843,199812341.0,2.4237742152272768
Uttarakhand,317,10086292.0,3.1428794645247233
West Bengal,16492,91276115.0,18.06825367183956
