State,Literacy_Total,Literacy_Male,Literacy_Female,Unemployment_Rate,Total_Suicides,Population,Suicide_Rate_Per_Lakh
Andaman and Nicobar Islands,86.63,90.27,82.43,54.0,136.0,380581.0,35.73483699921961
Andhra Pradesh,67.02,74.88,59.15,12.0,15077.0,84580777.0,17.825563366484563
Arunachal Pradesh,65.38,72.55,57.7,17.0,134.0,1383727.0,9.683991134089311
Assam,72.19,77.85,66.27,45.0,2726.0,31205576.0,8.735618275400524
Bihar,61.8,71.2,51.5,32.0,795.0,104099452.0,0.7636927810148318
Chhattisgarh,70.28,80.27,60.24,8.0,6756.0,25545198.0,26.44724069079441
Chandigarh[UT],86.05,89.99,81.19,0.0,0.0,26644268.0,0.0
Dadra and Nagar Haveli[UT],76.34,85.17,64.32,0.0,0.0,26644268.0,0.0
Daman and Diu[UT],87.1,91.54,79.55,0.0,0.0,26644268.0,0.0
Dadra and Nagar Haveli and Daman and Diu[UT][note 1],,,,0.0,0.0,26644268.0,0.0
Delhi,86.21,90.94,80.76,78.0,0.0,16787941.0,0.0
Goa,88.7,92.65,84.66,51.0,293.0,1458545.0,20.088512867275263
Gujarat,78.03,85.75,69.68,3.0,6382.0,60439692.0,10.559286106223043
Haryana,75.55,84.06,65.94,24.0,3245.0,25351462.0,12.80005074263567
Himachal Pradesh,82.8,89.53,75.93,10.0,443.0,6864602.0,6.453396715497854
Jammu and Kashmir[UT][note 2],67.16,76.75,56.43,0.0,0.0,26644268.0,0.0
Jharkhand,66.41,76.84,55.42,21.0,1212.0,32988134.0,3.674048371453808
Karnataka,75.36,82.47,68.08,9.0,12622.0,61095297.0,20.65952801571617
Kerala,94.0,96.11,91.07,68.0,8431.0,33406061.0,25.2379351160258
Lakshadweep[UT],91.85,95.56,87.95,0.0,0.0,26644268.0,0.0
Ladakh[UT][note 3],,,,0.0,0.0,26644268.0,0.0
Madhya Pradesh,69.32,78.73,59.24,4.0,9259.0,72626809.0,12.748735800852822
Maharashtra,82.34,88.38,75.87,7.0,15947.0,112374333.0,14.190962984403209
Manipur,76.94,83.58,70.26,26.0,33.0,2855794.0,1.155545533046151
Meghalaya,74.43,75.95,72.89,4.0,153.0,2966889.0,5.156916891734069
Mizoram,99.01,93.35,89.27,18.0,90.0,1097206.0,8.202652920235579
Nagaland,79.55,82.75,76.11,151.0,33.0,1978502.0,1.667928564135897
Odisha,72.87,81.59,64.01,22.0,5241.0,41974218.0,12.486236193846423
Puducherry,85.85,91.26,80.67,8.0,557.0,1247953.0,44.63309115006735
Punjab,75.84,80.44,70.73,19.0,966.0,27743338.0,3.481916992108159
Rajasthan,66.11,79.19,52.12,7.0,4348.0,68548437.0,6.342960088207408
Sikkim,81.42,86.55,75.61,10.0,184.0,610577.0,30.13542927427663
Tamil Nadu,80.09,86.77,73.44,20.0,15963.0,72147030.0,22.125650910370116
Telangana[note 4],,,,0.0,0.0,26644268.0,0.0
Tripura,87.22,92.53,82.73,105.0,703.0,3673917.0,19.13489063579825
Uttarakhand,78.82,87.4,70.01,25.0,317.0,10086292.0,3.1428794645247233
Uttar Pradesh,67.68,77.28,57.18,9.0,4843.0,199812341.0,2.4237742152272768
West Bengal,76.36,81.69,70.54,27.0,16492.0,91276115.0,18.06825367183956
