Country Name,Country Code,Year,Suicide Rate,Unemployment Rate,Literacy Rate
Albania,ALB,1987,2.4742997,16.872,97.75
Albania,ALB,1988,2.2345529,16.872,97.75
Albania,ALB,1989,2.3522725,16.872,97.75
Albania,ALB,1992,1.604659,30.007,97.75
Albania,ALB,1993,2.503264,25.251,97.75
Albania,ALB,1994,1.7961403,20.835,97.75
Albania,ALB,1995,2.898285,14.607,97.75
Albania,ALB,1996,2.9592226,13.928,97.75
Albania,ALB,1997,5.4761205,16.872,97.75
Albania,ALB,1998,4.954323,20.042,97.75
Albania,ALB,1999,4.4695582,20.835,97.75
Albania,ALB,2000,1.8802196,19.023,97.75
Albania,ALB,2001,4.0444255,18.57,99.0
Albania,ALB,2002,4.525415,17.891,97.75
Albania,ALB,2003,4.0825686,16.985,97.75
Albania,ALB,2004,4.722978,16.306,97.75
Albania,ALB,2005,4.500647333333333,15.966,97.75
Albania,ALB,2006,4.278316666666667,15.626,97.75
Albania,ALB,2007,4.055986,15.966,97.75
Albania,ALB,2008,5.3414583,13.06,96.0
Albania,ALB,2009,4.21035635,13.674,97.75
Albania,ALB,2010,3.0792544,14.086,97.75
Antigua and Barbuda,ATG,1961,2.3896923,6.31796376394052,99.0
Antigua and Barbuda,ATG,1962,2.504776,6.31796376394052,99.0
Antigua and Barbuda,ATG,1963,2.6198597,6.31796376394052,99.0
Antigua and Barbuda,ATG,1964,2.7349434,6.31796376394052,99.0
Antigua and Barbuda,ATG,1966,2.8500271,6.31796376394052,99.0
Antigua and Barbuda,ATG,1969,2.9651108,6.31796376394052,99.0
Antigua and Barbuda,ATG,1970,3.0801945,6.31796376394052,99.0
Antigua and Barbuda,ATG,1971,3.05960912,6.31796376394052,99.0
Antigua and Barbuda,ATG,1972,3.03902374,6.31796376394052,99.0
Antigua and Barbuda,ATG,1973,3.01843836,6.31796376394052,99.0
Antigua and Barbuda,ATG,1974,2.9978529800000002,6.31796376394052,99.0
Antigua and Barbuda,ATG,1975,2.9772676000000002,6.31796376394052,99.0
Antigua and Barbuda,ATG,1976,2.9566822200000002,6.31796376394052,99.0
Antigua and Barbuda,ATG,1977,2.9360968400000003,6.31796376394052,99.0
Antigua and Barbuda,ATG,1978,2.91551146,6.31796376394052,99.0
Antigua and Barbuda,ATG,1983,2.89492608,6.31796376394052,99.0
Antigua and Barbuda,ATG,1985,2.8743407,6.31796376394052,99.0
Antigua and Barbuda,ATG,1986,2.85375532,6.31796376394052,99.0
Antigua and Barbuda,ATG,1987,2.83316994,6.31796376394052,99.0
